title,budget,year,age,genre,length
Trapped,41.88191472,2002,16,Other,106
Urbania,0.328124456,2000,18,Drama,106
"End of Violence, The",7.821279512,1997,21,Drama,122
Snatch.,14.58330914,2000,18,Comedy,102
Narc,10.47047868,2002,16,Drama,105
Kissing Jessica Stein,1.418380027,2001,17,Comedy,97
Raise Your Voice,19.93885977,2004,14,Drama,103
"Bridges of Madison County, The",36.25423284,1995,23,Drama,135
"Notebook, The",39.87771955,2004,14,Drama,123
Pecker,9.242745844,1998,20,Comedy,87
"I, Robot",139.5720184,2004,14,Action,115
"Pledge, The",63.82710122,2001,17,Drama,123
Uncle Sam,3.128511805,1997,21,Other,89
Don't Say a Word,70.91900136,2001,17,Drama,113
"Ideal Husband, An",21.56640697,1998,19,Other,90
Unmade Beds,3.048191309,1980,21,Other,77
Welcome to Sarajevo,14.07830312,1997,21,Drama,103
"Bone Snatcher, The",8.188369565,2003,15,Other,96
"Insider, The",102.5061832,1999,19,Drama,157
Lost Highway,23.46383853,1997,21,Drama,135
Texas Rangers,53.89844103,2001,17,Drama,86
Bringing Down the House,47.76548913,2003,15,Comedy,105
Whipped,4.374992741,2000,18,Comedy,82
"Untold, The",4.188191472,2002,16,Action,92
"Beautiful Country, The",7.97554391,2004,14,Drama,137
Kansas City,30.41623103,1996,22,Drama,116
GoldenEye,131.833574,1995,23,Action,130
Terminator 3: Rise of the Machines,238.8274457,2003,15,Action,109
"House of Mirth, The",14.58330914,2000,18,Drama,140
Slam,1.364728261,2003,20,Comedy,94
Psycho,169.7262589,1960,20,Other,108
Shade,9.280152174,2003,15,Drama,101
God's Army,0.437499274,2000,18,Drama,108
One Night Stand,57.98749158,1984,21,Drama,94
1776,24.02391772,1972,46,Drama,180
Skeletons in the Closet,2.18749637,2000,18,Drama,86
21 Grams,27.29456522,2003,15,Drama,124
"Crew, The",33.54161101,2000,18,Comedy,84
"Talented Mr. Ripley, The",60.29775483,1999,19,Drama,139
Mickey Blue Eyes,60.29775483,1999,19,Comedy,102
Hidden Agenda,7.702288203,1998,17,Action,95
American Wedding,75.06005435,2003,15,Comedy,103
Vertical Limit,109.3748185,2000,18,Action,124
Heavenly Creatures,8.470282669,1994,24,Drama,108
Unforgettable,28.81537677,1996,22,Other,117
"Station Agent, The",0.68236413,2003,15,Drama,88
Multiplicity,72.03844192,1996,22,Comedy,117
Van Helsing,212.6811709,2004,14,Action,132
Mighty Joe Young,75.48242439,1998,20,Other,114
Femme Fatale,48.86223384,2002,16,Other,114
First Knight,123.5939756,1995,23,Drama,134
Good Burger,14.07830312,1997,21,Comedy,103
Rounders,18.48549169,1998,20,Drama,121
Amistad,62.57023609,1997,21,Drama,152
Proximity,8.510280163,2001,17,Other,98
Not Another Teen Movie,22.69408043,2001,17,Comedy,89
Cherry Falls,20.41663279,2000,18,Comedy,92
Dom durakov,3.49015956,2002,16,Drama,104
Joe's Apartment,20.81110544,1996,22,Comedy,80
No Way Home,6.40341706,1996,22,Drama,99
Vatel,52.49991289,2000,18,Drama,125
Rabbit-Proof Fence,8.376382943,2002,16,Drama,94
Little Secrets,3.545950068,2001,17,Drama,97
Skin Deep,1.539607603,1978,15,Drama,110
Coach Carter,38.57889077,2005,13,Drama,136
Down to Earth,42.55140081,2001,17,Comedy,87
Session 9,2.127570041,2001,17,Drama,97
Office Space,15.07443871,1999,19,Comedy,89
Deep Impact,115.534323,1998,20,Drama,120
Anchorman: The Legend of Ron Burgundy,34.56069028,2004,14,Comedy,104
Yo puta,7.97554391,2004,14,Drama,76
Crossplot,6.845965104,1969,49,Other,96
"Ideal Husband, An",157.4357367,1947,19,Drama,96
"Comunidad, La",2.916661827,2000,18,Comedy,110
"Out-of-Towners, The",60.29775483,1999,19,Comedy,90
"Whole Ten Yards, The",53.17029273,2004,14,Comedy,98
Frostbite,3.086311261,2005,13,Comedy,83
Jason X,19.85732038,2001,17,Other,85
100 Mile Rule,1.535670206,2002,16,Comedy,98
Losing Isaiah,28.01463447,1995,23,Drama,111
Captain Corelli's Mandolin,80.84766155,2001,17,Drama,131
"Foreigner, The",76.98038013,1978,15,Drama,77
Monster-in-Law,77.15778153,2005,13,Comedy,102
Raising the Stakes,0.150744387,1999,19,Drama,88
Legion of the Dead,3.829626073,2001,17,Comedy,92
Darkness Falls,15.01201087,2003,15,Other,86
Behind Enemy Lines,64.0341706,1996,17,Action,89
Wing Commander,45.22331612,1999,19,Action,96
Enough,53.05042531,2002,16,Drama,115
My Big Fat Greek Wedding,6.980319119,2002,16,Comedy,95
'Til There Was You,35.97788575,1997,21,Comedy,113
Cop Land,23.46383853,1997,21,Drama,116
Sweet November,288.715148,1968,17,Drama,114
Summer Catch,24.11246046,2001,17,Comedy,105
Pandaemonium,21.8749637,2000,18,Drama,124
"Fan, The",151.8866161,1981,22,Drama,95
Jack Frost,78.21279512,1997,20,Comedy,89
Payback,82.39598372,1995,19,Other,93
Matilda,66.38730998,1991,22,Comedy,90
Mean Creek,0.664628659,2004,14,Drama,89
"Crier, The",0.41197991900000003,1995,23,Other,78
Crazy/Beautiful,19.85732038,2001,17,Drama,135
Gattaca,56.31321248,1997,21,Drama,101
Swimfan,11.8665425,2002,16,Drama,85
Thirteen Conversations About One Thing,4.255140081,2001,17,Drama,104
Vampire in Brooklyn,23.07087544,1995,23,Comedy,100
Out-of-Sync,2.471879512,1995,23,Drama,105
Judgment,15.6021803,2001,17,Drama,105
"13th Warrior, The",128.132729,1999,19,Action,102
Madhouse,5.765574774,1990,14,Comedy,90
Scooby-Doo,117.2693612,2002,16,Comedy,86
Payback,75.37219354,1999,19,Other,100
Heavy Metal 2000,21.8749637,2000,18,Action,88
Josie and the Pussycats,31.2043606,2001,17,Comedy,98
Judge Dredd,148.3127707,1995,23,Action,96
Village of the Damned,11.53543772,1995,23,Other,99
Final Destination,33.54161101,2000,18,Other,98
What Women Want,94.79150938,2000,18,Comedy,127
"Salton Sea, The",25.12914883,2002,16,Drama,107
Final Destination 2,35.48293478,2003,15,Other,90
Go Fish,0.025410848,1994,24,Other,84
"Learning Curve, The",1.418380027,2001,17,Drama,113
Warriors of Virtue,54.74895658,1997,21,Action,101
"Walk on the Moon, A",30.94120753,1987,19,Other,95
