state,env_prog_str,corrupt,wealth,toxic_waste,dem_party_control,interparty_comp,public_env,manuf_groups,env_groups
AK,8,0.58630002,44.293015,1.3083328,0.625,53.459999,2.4200001,0.000653846,0.000346154
AL,6,0.63029999,18.905834,4.6977491,0.80000001,27.27,2.3699999,0.000537772,6.40E-05
AR,5,0.1321,18.371607,3.713572,0.89999998,9.2600002,2.4200001,0.000636364,4.55E-05
AZ,13,0.31760001,19.322035,4.1926804,0.30000001,33.900002,2.52,0.000782726,0.000148448
CA,34,0.49759999,25.490957,4.6940966,0.60000002,47.290001,2.7,0.000258916,1.40E-05
CO,17,0.21170001,23.823275,2.7536607,0.5,40.18,2.5,0.000521212,0.000242424
CT,29,0.21250001,30.161634,3.6323092,0.89999998,52.810001,2.5900002,0.000586451,0.000192113
DE,15,0.3012,34.347828,2.1517622,0.30000001,39.66,2.5999999,0.001054852,0.000126582
FL,24,0.60409999,19.881569,4.1190372,0.80000001,31.129999,2.6100001,0.000874907,0.000245719
GA,12,0.54629999,22.690317,4.4624538,1,16.190001,2.49,0.000651466,0.000143322
HI,15,0.9788,28.794449,0,1,33.400002,2.5799999,0.000542169,0.000180723
IA,20,0.063699998,21.189459,3.7612002,0.40000001,48.549999,2.4400001,0.000621849,0.000151261
ID,13,0.1331,19.606003,1.9878744,0.5,35.599998,2.3499999,0.001866029,0.00138756
IL,12,0.22409999,25.35745,4.9023075,0.44999999,41.610001,2.5900002,0.000315897,4.08E-05
IN,25,0.22409999,21.514507,5.2181911,0.1,44.59,2.5599999,0.000567434,4.11E-05
KS,15,0.1016,22.319302,3.4111476,0.32499999,35.810001,2.5,0.001067616,0.000160142
KY,13,0.25830001,20.143885,4.1956973,1,27.809999,2.3899999,0.000568783,3.97E-05
LA,18,0.48800001,22.513456,5.5246558,0.85000002,,2.5,0.000748441,7.28E-05
MA,26,0.26789999,27.004501,3.462606,1,30.389999,2.6100001,0.000438272,0.000104938
MD,12,0.62080002,23.646723,2.9957323,1,31,2.5700002,0.000645439,4.30E-05
ME,32,0.061799999,278.01132,2.7278528,0.75,45.900002,2.46,9.60E-05,2.62E-05
MI,24,0.26359999,21.691607,4.8880911,0.75,49.580002,2.53,0.000684932,0.000117417
MN,28,0.065200001,24.653553,4.0235643,0.85000002,52.439999,2.6100001,0.000716228,0.000199456
MO,18,0.14920001,21.490467,4.5075574,0.5,27.120001,2.45,0.000519713,0.000107527
MS,11,0.47,16.953693,4.0876555,1,16.48,2.4400001,0.00027088,0
MT,10,0.1578,18.469015,3.5723455,0.55000001,43.34,2.3299999,0.002039474,0.000921053
NC,7,0.47940001,23.340158,4.882802,0.69999999,33.419998,2.55,0.000432331,8.15E-05
ND,37,0.0095,20.629921,0.18232159,0.44999999,56.580002,2.3400002,0.001526718,0.000305344
NE,12,0.0616,23.19202,2.8273137,0.2,54.060001,2.4099998,0.000833333,0.000134409
NH,18,0.1085,21.633753,2.6246686,0.1,29.01,2.52,0.0006639,0.000290456
NJ,27,0.2692,28.554972,3.8066626,0.5,51.810001,2.6599998,0.000475123,8.07E-05
NM,14,0.4163,20.177103,3.4011974,0.69999999,37.099998,2.5599999,0.001442006,0.00031348
NV,9,0.42480001,27.648384,0.83290911,0.75,49.599998,2.53,0.001847826,0.000380435
NY,29,0.53640002,27.49931,4.601162,0.75,47.68,2.49,0.000271302,6.63E-05
OH,20,0.2597,21.953657,5.3092575,0.69999999,49.610001,2.49,0.000608444,2.48E-05
OK,12,0.53509998,18.777292,3.4934728,0.80000001,25.49,2.3499999,0.001013289,9.97E-05
OR,29,0.098200001,21.07563,3.0726933,0.69999999,54.25,2.3699999,0.00122807,0.000350877
PA,18,0.29249999,22.268557,4.9045339,0.40000001,40.189999,2.5,0.00070412,5.62E-05
RI,27,0.47530001,21.556887,2.0412202,0.75,39.490002,2.6799998,0.000833333,0.000509259
SC,12,0.67879999,19.415855,4.1896548,0.80000001,28.32,2.5,0.000415473,4.30E-05
SD,4,0.1435,21.297602,0.83290911,0,39.189999,2.4099998,0.00192053,0.000927152
TN,12,0.62150002,21.688906,4.8402424,0.69999999,26.719999,2.47,0.000523416,4.59E-05
TX,17,0.2798,23.597668,5.7639365,0.69999999,21.959999,2.51,0.000419765,4.32E-05
UT,10,0.2563,19.657648,4.8186674,0.2,45.290001,2.3099999,0.001404494,0.000280899
VA,17,0.6473,24.072624,4.7211738,0.47499999,40.709999,2.51,0.000377113,7.80E-05
VT,26,0.0059,20.665499,0.53062826,0.94999999,49.16,2.6300001,0.00220339,0.000508475
WA,25,0.1031,24.795958,3.3428619,0.625,53.939999,2.54,0.000619122,7.05E-05
WI,25,0.1381,21.913147,4.1059437,0.69999999,49.130001,2.47,0.000347032,0
WV,7,0.37650001,12.783619,3.6737659,0.80000001,44.970001,2.4200001,0.001991342,0.000519481
WY,11,0,28.448277,2.8154087,0.5,30.459999,2.3899999,0.002045455,0.001060606
